Rk,Player,From,To,Yrs,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
164,Denny Felsner\felsnde01,1992,1995,4,NHL,18,1,4,5,2,6,1,0,0,0,4,0,0,14,7.1,,
165,Ray Ferraro\ferrara01,2002,2002,1,NHL,15,6,4,10,2,8,4,2,0,1,3,1,0,27,22.2,211,14:05
166,Jeff Finley\finleje01,1999,2004,6,NHL,371,6,28,34,46,206,6,0,0,3,21,3,4,176,3.4,6556,17:40
167,Rory Fitzpatrick\fitzpro02,1997,1999,2,NHL,3,0,0,0,-5,4,0,0,0,0,0,0,0,1,0,5,4:49
168,Ron Flockhart\flockro02,1986,1988,3,NHL,160,43,68,111,7,42,34,7,2,5,52,16,0,329,13.1,,
169,Connie Forey\foreyco01,1974,1974,1,NHL,4,0,0,0,-1,2,0,0,0,0,0,0,0,2,0,,
170,Ray Fortin\fortira01,1968,1970,3,NHL,92,2,6,8,7,35,2,0,0,0,4,2,0,101,2,,
171,Colin Fraser\fraseco01,2015,2015,1,NHL,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,5,4:42
172,Len Frig\frigle01,1978,1980,2,NHL,37,1,5,6,-18,49,1,0,0,1,5,0,0,44,2.3,,
173,Simon Gamache\gamacsi01,2006,2006,1,NHL,15,3,4,7,1,10,3,0,0,0,3,1,0,32,9.4,208,13:53
174,Perry Ganchar\ganchpe01,1984,1985,2,NHL,8,0,2,2,1,0,0,0,0,0,2,0,0,4,0,,
175,Dave Gardner\gardnda01,1974,1975,2,NHL,23,5,4,9,-9,6,5,0,0,0,2,2,0,39,12.8,,
176,Bob Gassoff\gassobo01,1974,1977,4,NHL,245,11,47,58,-13,866,10,1,0,4,44,2,1,311,3.5,,
177,Barry Gibbs\gibbsba01,1978,1979,2,NHL,127,8,39,47,-52,91,8,0,0,0,30,9,0,186,4.3,,
178,Greg Gilbert\gilbegr01,1995,1996,2,NHL,63,11,15,26,21,19,11,0,0,3,15,0,0,66,16.7,,
179,Stan Gilbertson\gilbest01,1975,1975,1,NHL,22,1,4,5,-5,4,1,0,0,0,4,0,0,32,3.1,,
180,Curt Giles\gilescu01,1992,1993,2,NHL,61,1,5,6,-5,48,1,0,0,0,3,2,0,27,3.7,,
181,Todd Gill\gillto01,1998,1999,2,NHL,39,7,7,14,-4,26,3,4,0,1,6,1,0,58,12.1,493,17:36
182,Doug Gilmour*\gilmodo01,1984,1988,5,NHL,384,149,205,354,-12,264,99,44,6,15,130,68,7,873,17.1,,
183,Gaston Gingras\gingrga01,1988,1989,2,NHL,120,10,32,42,1,24,5,5,0,0,16,16,0,229,4.4,,
184,Larry Giroux\giroula01,1974,1980,3,NHL,150,10,39,49,-44,174,8,2,0,2,30,9,0,244,4.1,,
185,Mike Glumac\glumami01,2006,2008,3,NHL,40,7,6,13,-8,38,2,5,0,0,5,1,0,62,11.3,476,11:53
186,Marcel Goc\gocma01,2015,2015,1,NHL,31,1,2,3,-1,4,1,0,0,0,2,0,0,34,2.9,329,10:38
187,Scott Gomez\gomezsc01,2016,2016,1,NHL,21,1,7,8,-4,4,1,0,0,1,3,4,0,10,10,236,11:15
188,Phil Goyette\goyetph01,1970,1970,1,NHL,72,29,49,78,3,16,16,13,0,5,23,26,0,152,19.1,,
189,Evgeny Grachev\grachev01,2012,2012,1,NHL,26,1,3,4,-4,2,1,0,0,1,3,0,0,14,7.1,243,9:20
190,Terry Gray\grayte01,1969,1970,2,NHL,36,6,5,11,1,21,4,2,0,3,4,1,0,82,7.3,,
191,Wayne Gretzky*\gretzwa01,1996,1996,1,NHL,18,8,13,21,-6,2,6,1,1,1,4,9,0,51,15.7,,
192,Bill Guerin\gueribi01,2007,2007,1,NHL,61,28,19,47,8,52,21,7,0,6,12,7,0,189,14.8,1063,17:26
193,Carl Gunnarsson\gunnaca01,2015,2019,5,NHL,270,13,30,43,38,63,12,1,0,3,28,1,1,214,6.1,4427,16:24
194,Alexei Gusarov\gusaral01,2001,2001,1,NHL,16,0,4,4,-3,6,0,0,0,0,3,1,0,10,0,339,21:11
195,Jean Hamel\hamelje01,1973,1974,2,NHL,78,3,8,11,-8,30,3,0,0,0,7,1,0,77,3.9,,
196,Chuck Hamilton\hamilch01,1973,1973,1,NHL,3,0,2,2,4,2,0,0,0,0,2,0,0,2,0,,
197,Inge Hammarstrom\hammain01,1978,1979,2,NHL,135,31,41,72,-37,12,31,0,0,3,35,6,0,293,10.6,,
198,Ron Handy\handyro01,1988,1988,1,NHL,4,0,1,1,-1,0,0,0,0,0,1,0,0,4,0,,
199,Michal Handzus\handzmi01,1999,2001,3,NHL,183,39,54,93,21,86,27,6,6,7,42,9,3,302,12.9,3060,16:43
200,Richie Hansen\hanseri01,1982,1982,1,NHL,2,0,2,2,2,0,0,0,0,0,2,0,0,4,0,,
201,Nick Harbaruk\harbani01,1974,1974,1,NHL,56,5,14,19,4,16,4,0,1,1,12,2,0,50,10,,
202,Scott Harlow\harlosc01,1988,1988,1,NHL,1,0,1,1,-1,0,0,0,0,0,1,0,0,2,0,,
203,Terry Harper\harpete01,1980,1980,1,NHL,11,1,5,6,5,6,1,0,0,0,5,0,0,14,7.1,,
204,Ted Harris\harrite01,1974,1974,1,NHL,24,0,4,4,-4,16,0,0,0,0,4,0,0,32,0,,
205,Gerry Hart\hartge01,1981,1983,3,NHL,106,4,12,16,0,236,4,0,0,0,12,0,0,59,6.8,,
206,Doug Harvey*\harvedo01,1969,1969,1,NHL,70,2,20,22,11,30,1,1,0,0,14,5,1,46,4.3,,
207,Martin Havlat\havlama01,2016,2016,1,NHL,2,1,0,1,0,0,1,0,0,1,0,0,0,3,33.3,22,10:54
208,Dale Hawerchuk*\hawerda01,1996,1996,1,NHL,66,13,28,41,5,22,8,5,0,1,13,14,1,136,9.6,,
209,Jochen Hecht\hechtjo01,1999,2001,3,NHL,138,32,46,78,29,76,16,13,3,2,33,13,0,352,9.1,2302,16:41
210,Bret Hedican\hedicbr01,1992,1994,3,NHL,107,1,19,20,-9,94,1,0,0,0,17,2,0,119,0.8,,
211,Jeff Heerema\heereje01,2004,2004,1,NHL,22,1,2,3,-5,4,1,0,0,1,1,1,0,28,3.6,230,10:26
212,Bryan Helmer\helmebr01,1999,2000,2,NHL,44,1,5,6,0,29,0,1,0,1,5,0,0,57,1.8,799,18:09
213,Colin Hemingway\heminco01,2006,2006,1,NHL,3,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,22,7:18
